Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,Country,Facility Type,EV Pricing
"Oakmont, Plum Service Plaza (Milepost 49.3 EB)",2000 Eastern Avenue,Verona,PA,15147,888-998-2546,Public,,1,1,Blink Network,http://www.blinkcharging.com/,GPS,40.521676,-79.812458,5/7/2023,95614,2023-05-07 23:57:51 UTC,10/1/2016,CHADEMO J1772,US,,Free
City of Hayward - 805 B St,805 B Street,Hayward,CA,94541,888-998-2546,Public,,10,1,Blink Network,http://www.blinkcharging.com/,GPS,37.671483,-122.084149,5/7/2023,95870,2023-05-07 23:59:18 UTC,11/15/2012,CHADEMO J1772 J1772COMBO,US,,Free
Ohlone College - Newark Campus,39399 Cherry Street,Newark,CA,94560,888-998-2546,Public,,5,1,Blink Network,http://www.blinkcharging.com/,GPS,37.516369,-122.003878,5/7/2023,163656,2023-05-07 23:57:54 UTC,6/27/2020,CHADEMO J1772,US,,Free
New Stanton Service Plaza (Milepost 77.6 WB),734 New Stanton Service Plaza,Hunker,PA,15639,888-998-2546,Public,,1,1,Blink Network,http://www.blinkcharging.com/,GPS,40.207322,-79.566135,5/7/2023,164196,2023-05-07 23:57:49 UTC,7/14/2020,CHADEMO J1772,US,,Free
Dunkin Donuts - West Orange,563 Northfield Ave,West Orange,NJ,7052,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,40.77032,-74.28109,5/7/2023,170136,2023-05-07 23:59:50 UTC,12/14/2020,CHADEMO J1772COMBO,US,,Free
Newark Ramada Plaza,160 Frontage Rd,Newark,NJ,7114,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,40.71295,-74.16612,5/7/2023,170137,2023-05-07 23:59:56 UTC,12/14/2020,CHADEMO J1772COMBO,US,,Free
Holiday Inn - Budd Lake,1000 International Dr,Budd Lake,NJ,7828,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,40.908788,-74.72488,5/7/2023,170173,2023-05-07 23:59:34 UTC,12/15/2020,CHADEMO J1772COMBO,US,,Free
Best Western Hotel and Conference Center,5625 O'Donnell St,Baltimore,MD,21224,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,39.279853,-76.546448,5/7/2023,170174,2023-05-07 23:59:48 UTC,12/15/2020,CHADEMO J1772COMBO,US,,Free
Crowne Plaza,2349 Marlton Pike West,Cherry Hill,NJ,8002,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,39.926358,-75.05352,5/7/2023,171369,2023-05-07 23:59:41 UTC,1/19/2021,CHADEMO J1772COMBO,US,,Free
Garden Plaza Hotel,129 Pehle Ave,Saddle Brook,NJ,7663,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,40.90728,-74.097557,5/7/2023,189545,2023-05-07 23:59:34 UTC,5/11/2021,CHADEMO J1772COMBO,US,,Free
Holiday Inn Express & Suites Tower Center,4 Tower Center Blvd,East Brunswick,NJ,8816,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,40.478991,-74.406911,5/7/2023,190458,2023-05-07 23:59:35 UTC,5/31/2021,CHADEMO J1772COMBO,US,,Free
Clarion Hotel & Suites - East,1111 Route 73 North,Mount Laurel,NJ,8054,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,39.928647,-74.954393,5/7/2023,191566,2023-05-07 23:59:39 UTC,6/28/2021,CHADEMO J1772COMBO,US,,Free
Bowmansville Service Plaza (Milepost 289.9 EB),1350 Reading Road,Denver,PA,17517,888-998-2546,Public,,1,1,Blink Network,http://www.blinkcharging.com/,GPS,40.202287,-76.015699,5/7/2023,192958,2023-05-07 23:57:52 UTC,7/19/2021,CHADEMO J1772,US,,Free
Hall St Public Parking,130 Hall St,Traverse City,MI,49684,888-998-2546,Public,,5,1,Blink Network,http://www.blinkcharging.com/,GPS,44.764775,-85.627744,5/7/2023,193422,2023-05-07 23:58:25 UTC,8/2/2021,CHADEMO J1772 J1772COMBO,US,,Free
South Port Plaza,1600 S Christopher Columbus Blvd,Philadelphia,PA,19148,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,39.927123,-75.14554,5/7/2023,201050,2023-05-08 00:00:02 UTC,11/12/2021,CHADEMO J1772COMBO,US,,Free
