Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Spndng_2017,Tot_Spndng_2018,Tot_Spndng_2019,Tot_Spndng_2020,Tot_Spndng_2021
Clinpro 5000,Fluoride (Sodium),3M Espe Dental,30826,43735,59081,58282,82499
Precision,"Syringe And Needle,Insulin,1ml",Abbott Diabetes,419,447,313,174,555
Vuity,Pilocarpine HCl,Abbvie US LLC,0,0,0,0,4720
Tarka,Trandolapril/Verapamil HCl,Abbvie US LLC,1366150,1044877,520928,421548,148884
Lupaneta Pack,Leuprolide/Norethindrone Acet,Abbvie US LLC,118272,140403,98391,165903,159248
Tricor,Fenofibrate Nanocrystallized,Abbvie US LLC,419910,335291,304989,271185,190818
Oriahnn,Elagolix/Estradiol/Norethindrn,Abbvie US LLC,0,0,0,17043,236848
Trilipix,Fenofibric Acid (Choline),Abbvie US LLC,961701,814322,698323,570859,413114
Lupron Depot-Ped,Leuprolide Acetate,Abbvie US LLC,529683,471764,491908,697666,476260
Humira(Cf) Pediatric Crohn'S,Adalimumab,Abbvie US LLC,0,0,527034,897026,832532
Gengraf,"Cyclosporine, Modified",Abbvie US LLC,2096908,1784922,1458239,1272165,1173548
Qulipta,Atogepant,Abbvie US LLC,0,0,0,0,1338319
Norvir,Ritonavir,Abbvie US LLC,100672046,36924156,5783269,2536814,1550102
Duopa,Carbidopa/Levodopa,Abbvie US LLC,256114,1744708,2373201,1957304,2580257
Niaspan,Niacin,Abbvie US LLC,6666531,7885328,4962561,3722378,2930328
Orilissa,Elagolix Sodium,Abbvie US LLC,0,138612,1760826,2971696,3343652
Depakote Sprinkle,Divalproex Sodium,Abbvie US LLC,3794941,3923956,3852732,3952321,3904543
Humira Pen Crohn'S-Uc-Hs,Adalimumab,Abbvie US LLC,43018276,41116714,13108459,7424082,5961909
K-Tab ER,Potassium Chloride,Abbvie US LLC,6656598,7439434,7508710,7584983,6649677
Kaletra,Lopinavir/Ritonavir,Abbvie US LLC,38415635,28872950,19841104,14556207,9065449
Venclexta Starting Pack,Venetoclax,Abbvie US LLC,1706077,4297192,6668564,8821412,10174088
Androgel,Testosterone,Abbvie US LLC,268058931,258927447,47232563,16306004,11136663
Humira Pen Psor-Uveits-Adol Hs,Adalimumab,Abbvie US LLC,35441109,37572463,19780376,11999685,11283678
Depakote,Divalproex Sodium,Abbvie US LLC,18174395,17984877,16456782,15805669,14495591
Depakote ER,Divalproex Sodium,Abbvie US LLC,20756190,21181807,19701253,19007051,17664980
Humira(Cf) Pen Psor-Uv-Adol Hs,Adalimumab,Abbvie US LLC,0,4703736,27218092,25635991,31225494
Humira(Cf) Pen Crohn'S-Uc-Hs,Adalimumab,Abbvie US LLC,0,7851069,43047255,46347135,61525642
Skyrizi,Risankizumab-Rzaa,Abbvie US LLC,0,0,0,0,76341484
Skyrizi Pen,Risankizumab-Rzaa,Abbvie US LLC,0,0,0,0,81799421
Lupron Depot,Leuprolide Acetate,Abbvie US LLC,55347901,69026984,83935224,82608206,82903168
Skyrizi (2 Syringes) Kit,Risankizumab-Rzaa,Abbvie US LLC,0,0,36071862,191618647,237231759
Mavyret,Glecaprevir/Pibrentasvir,Abbvie US LLC,70729892,461311915,538928461,295848484,259730649
Humira,Adalimumab,Abbvie US LLC,543989442,596288038,484881026,383631562,328556268
Synthroid,Levothyroxine Sodium,Abbvie US LLC,270701010,289424701,306541621,327297973,343569697
Humira(Cf),Adalimumab,Abbvie US LLC,0,14055941,175792475,305570324,366675969
Rinvoq,Upadacitinib,Abbvie US LLC,0,0,11105716,191260329,411512944
Venclexta,Venetoclax,Abbvie US LLC,44237853,139714016,342695363,562138427,690959199
Humira Pen,Adalimumab,Abbvie US LLC,2014291732,2388343504,1749371716,1215774159,1018601479
Creon,Lipase/Protease/Amylase,Abbvie US LLC,553981199,668426972,809796979,960235542,1111601793
Humira(Cf) Pen,Adalimumab,Abbvie US LLC,0,78410238,1205499315,2169430424,2907332478
Zemplar*,Paricalcitol,Abbvie US LLC*,319331,182898,35343,38403,18413
Nuplazid,Pimavanserin Tartrate,Acadia Pharmace,107709416,209066403,311931514,416044322,470863042
Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Access LLC,235,317,285,1055,299
Ondansetron HCl,Ondansetron HCl/PF,Accord Healthca,623,1431,167,0,66
Glycopyrrolate*,Glycopyrrolate,Accord Healthca,0,0,0,0,3371
Furosemide*,Furosemide,Accord Healthca,0,0,0,0,3625
Itraconazole,Itraconazole,Accord Healthca,40398,186879,14149,5058,3768
Gemcitabine HCl,Gemcitabine HCl,Accord Healthca,321304,46982,17541,13048,8967
Cisplatin,Cisplatin,Accord Healthca,2157,6163,13937,10455,9347
Etoposide*,Etoposide,Accord Healthca,10368,11594,12560,7337,11142
Lisinopril,Lisinopril,Accord Healthca,1365360,90789,21459,14606,16230
Tigecycline,Tigecycline,Accord Healthca,0,0,0,0,17006
Ramipril,Ramipril,Accord Healthca,184344,27698,19438,12937,17876
Topotecan HCl,Topotecan HCl,Accord Healthca,39414,36540,35843,18753,23517
Fosaprepitant Dimeglumine,Fosaprepitant Dimeglumine,Accord Healthca,0,0,0,0,23879
Carboplatin,Carboplatin,Accord Healthca,1884,16088,17772,25391,26862
Entecavir,Entecavir,Accord Healthca,0,495563,127468,129739,32051
Docetaxel,Docetaxel,Accord Healthca,0,0,0,23931,41185
Methyldopa,Methyldopa,Accord Healthca,644632,573566,478832,373891,47028
Glipizide,Glipizide,Accord Healthca,1932641,482872,103915,58214,54685
Ondansetron HCl*,Ondansetron HCl,Accord Healthca,1035,8027,50591,61662,65033
Capecitabine,Capecitabine,Accord Healthca,0,0,0,75877,65802
Levetiracetam*,Levetiracetam,Accord Healthca,2478668,1179623,334081,118708,73182
Oxaliplatin,Oxaliplatin,Accord Healthca,0,0,21618,85727,89154
Temsirolimus,Temsirolimus,Accord Healthca,0,0,108175,189187,156455
Temozolomide,Temozolomide,Accord Healthca,0,0,0,95223,173102
Decitabine,Decitabine,Accord Healthca,133943,194558,284241,146045,367554
Fulvestrant,Fulvestrant,Accord Healthca,0,0,0,0,370574
Zoledronic Acid,Zoledronic Acid,Accord Healthca,0,97889,244619,342586,386804
Azacitidine,Azacitidine,Accord Healthca,0,0,194626,375363,408403
Buprenorphine-Naloxone,Buprenorphine HCl/Naloxone HCl,Accord Healthca,0,0,0,0,520729
Mitomycin,Mitomycin,Accord Healthca,1335856,828645,1296213,969512,551271
Methotrexate Sodium,Methotrexate Sodium/PF,Accord Healthca,40400,166642,358688,528753,580826
Pioglitazone HCl,Pioglitazone HCl,Accord Healthca,21404098,22888217,20549689,2545238,1135807
Methylphenidate HCl,Methylphenidate HCl,Accord Healthca,0,0,0,0,1268917
Tadalafil,Tadalafil,Accord Healthca,0,0,382182,739226,1299411
Trazodone HCl,Trazodone HCl,Accord Healthca,0,40913,5880963,7907912,1307054
Ropinirole HCl,Ropinirole HCl,Accord Healthca,0,17776,997081,1952944,2372873
Prasugrel HCl,Prasugrel HCl,Accord Healthca,0,0,1187637,3452094,3404611
Naltrexone HCl,Naltrexone HCl,Accord Healthca,1398455,2850794,4468819,3168419,3700295
Pravastatin Sodium,Pravastatin Sodium,Accord Healthca,9797521,46377937,26993237,5165817,3859676
Olmesartan-Hydrochlorothiazide,Olmesartan/Hydrochlorothiazide,Accord Healthca,0,0,0,978802,6474465
Bicalutamide,Bicalutamide,Accord Healthca,3691114,5047393,7050030,8477195,6752584
Rosuvastatin Calcium,Rosuvastatin Calcium,Accord Healthca,35364488,65280821,35173582,16413069,7907445
Dofetilide,Dofetilide,Accord Healthca,0,0,0,933514,8052956
Diltiazem 24hr ER (XR),Diltiazem HCl,Accord Healthca,0,0,0,427234,9322610
